title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Looking Season 2 ep 210,2015,BART Station @ 16th Street & Mission Streets,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4195684 37.7653618),9,2024-12-18T14:30:38.000,Mission,-122.4195684,2024-12-06T12:17:47.000,37.7653618
The Last of the Gladiators,1988,,,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff,Evel Knievel,,,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Venom: Let There Be Carnage,2021,"Grace Cathedral Church, 1100 California Street",,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,CA,San Francisco,POINT (-122.4133739 37.7918593),3,2024-12-18T14:30:38.000,Nob Hill,-122.4133739,2024-12-06T12:17:47.000,37.7918593
Knife Fight,2013,California & Hyde Streets,,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Rob Lowe,Julie Bowen,Jamie Chung,CA,San Francisco,POINT (-122.4174211 37.7910049),3,2024-12-18T14:30:38.000,Nob Hill,-122.4174211,2024-12-06T12:17:47.000,37.7910049
Big Eyes,2014,Way Faire Inn on Leidesdorff,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,CA,San Francisco,POINT (-122.4023375 37.7939998),3,2024-12-18T14:30:38.000,Chinatown,-122.4023375,2024-12-06T12:17:47.000,37.7939998
Foul Play,1978,24th and Castro Streets (Noe Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4341129 37.7513041),8,2024-12-18T14:30:38.000,Noe Valley,-122.4341129,2024-12-06T12:17:47.000,37.7513041
"Murder in the First, Season 2",2015,Grant Avenue between Clay and Washington Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.40602 37.79426),3,2024-12-18T14:30:38.000,Chinatown,-122.40602,2024-12-06T12:17:47.000,37.79426
"Budding Prospects, Pilot",2017,Gough Street & Clay Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,CA,San Francisco,POINT (-122.4259924 37.7917772),2,2024-12-18T14:30:38.000,Pacific Heights,-122.4259924,2024-12-06T12:17:47.000,37.7917772
DEVS,2020,Castro at 18th St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.435038 37.7608968),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.435038,2024-12-06T12:17:47.000,37.7608968
Tales of the City,2019,Castro District,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.435033 37.7608937),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.435033,2024-12-06T12:17:47.000,37.7608937
Summertime,2015,Duboce Park,,"Creative Monster Productions, Inc.",13 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.433214 37.769551),8,2024-12-18T14:30:38.000,Haight Ashbury,-122.433214,2024-12-06T12:17:47.000,37.769551
40 Days and 40 Nights,2002,"The Walden House, Buena Vista Park","Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,CA,San Francisco,POINT (-122.4433186 37.7694065),8,2024-12-18T14:30:38.000,Haight Ashbury,-122.4433186,2024-12-06T12:17:47.000,37.7694065
Terminator - Genisys,2015,San Francisco - Oakland Bay Bridge,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.3648992 37.8102258),6,2024-12-18T14:30:38.000,Treasure Island,-122.3648992,2024-12-06T12:17:47.000,37.8102258
Experiment in Terror,1962,1 Montgomery Street at Post,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,CA,San Francisco,POINT (-122.4022503 37.7892447),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4022503,2024-12-06T12:17:47.000,37.7892447
Another 48 Hours,1990,,,Eddie Murphy Productions,Paramount Pictures,Walter Hill,Walter Hill,Eddie Murphy,Nick Nolte,,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
"Budding Prospects, Pilot",2017,1167 Alabama Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,CA,San Francisco,POINT (-122.4108224 37.7532795),9,2024-12-18T14:30:38.000,Mission,-122.4108224,2024-12-06T12:17:47.000,37.7532795
Jade,1995,Palace of Fine Arts,"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,CA,San Francisco,POINT (-122.4484231 37.8029308),2,2024-12-18T14:30:38.000,Marina,-122.4484231,2024-12-06T12:17:47.000,37.8029308
Petulia,1968,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,CA,San Francisco,POINT (-122.4704359 37.7700913),7,2024-12-18T14:30:38.000,Golden Gate Park,-122.4704359,2024-12-06T12:17:47.000,37.7700913
Shit and Champagne,2020,Leavenworth at Greenwich St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.417814 37.8012618),3,2024-12-18T14:30:38.000,Russian Hill,-122.417814,2024-12-06T12:17:47.000,37.8012618
Twisted,2004,The Saloon (1232 Grant Avenue),,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,CA,San Francisco,POINT (-122.4070096 37.7986328),3,2024-12-18T14:30:38.000,North Beach,-122.4070096,2024-12-06T12:17:47.000,37.7986328
San Andreas,2015,Vallejo Garage Roof (Vallejo at Powell),,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.4100057 37.79856),3,2024-12-18T14:30:38.000,Chinatown,-122.4100057,2024-12-06T12:17:47.000,37.79856
Chance- Season 1 ep104,2016,Bush and Sansome St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4007722 37.791194),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4007722,2024-12-06T12:17:47.000,37.791194
Cardinal X,2015,1559 Underwood Avenue between Lane and Keith,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,CA,San Francisco,POINT (-122.3912528 37.7291974),10,2024-12-18T14:30:38.000,Bayview Hunters Point,-122.3912528,2024-12-06T12:17:47.000,37.7291974
"Looking ""Special""",2016,"Li Po Lounge, 916 Grant Avenue",Li Po Cocktail Lounge was one of the Top 10 Dive Bars in San Francisco in 2011 by SF Weekly,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4064344 37.7954238),3,2024-12-18T14:30:38.000,Chinatown,-122.4064344,2024-12-06T12:17:47.000,37.7954238
"Murder in the First, Season 2",2015,1243 19th Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.395262 37.7611617),10,2024-12-18T14:30:38.000,Potrero Hill,-122.395262,2024-12-06T12:17:47.000,37.7611617
Looking Season 2 ep 210,2015,Mission Street @ 22nd Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4187696 37.7554489),9,2024-12-18T14:30:38.000,Mission,-122.4187696,2024-12-06T12:17:47.000,37.7554489
The Towering Inferno,1974,"Bank of America Building (555 California Street, Financial District)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,CA,San Francisco,POINT (-122.4037515 37.7924396),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4037515,2024-12-06T12:17:47.000,37.7924396
Looking,2014,Mr. S Leather,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.408708 37.7741577),6,2024-12-18T14:30:38.000,South of Market,-122.408708,2024-12-06T12:17:47.000,37.7741577
Pushing Dead,2016,42 Walter Street,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4326214 37.768427),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4326214,2024-12-06T12:17:47.000,37.768427
Nash Bridges,2021,Jeremiah O'Brien ship at Pier 35,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.4178564 37.8109433),,2024-12-18T14:30:38.000,,-122.4178564,2024-12-06T12:17:47.000,37.8109433
Blue Jasmine,2013,South Park,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.3940353 37.7815501),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3940353,2024-12-06T12:17:47.000,37.7815501
The Dead Pool,1988,1954 Mason Street (North Beach),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,CA,San Francisco,POINT (-122.4126979 37.801725),3,2024-12-18T14:30:38.000,Chinatown,-122.4126979,2024-12-06T12:17:47.000,37.801725
Dirty Harry,1971,"California Hall (625 Polk Street, Van Ness/Civic Center)",,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.4193841 37.7824596),5,2024-12-18T14:30:38.000,Tenderloin,-122.4193841,2024-12-06T12:17:47.000,37.7824596
Godzilla,2014,Stockton & Clay St,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.4079258 37.7940728),3,2024-12-18T14:30:38.000,Chinatown,-122.4079258,2024-12-06T12:17:47.000,37.7940728
I Am Michael,2015,Sanchez/Cumberland steps and sidewalks,,That’s Hollywood,,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto,CA,San Francisco,POINT (-122.4304368 37.7593234),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4304368,2024-12-06T12:17:47.000,37.7593234
"Smile Again, Jenny Lee",2015,Europa Café (4318 California St. and 5th Ave.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.463907 37.7852603),1,2024-12-18T14:30:38.000,Inner Richmond,-122.463907,2024-12-06T12:17:47.000,37.7852603
Looking,2014,Orphan Andy's,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4348896 37.762326),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4348896,2024-12-06T12:17:47.000,37.762326
Tales of the City,2019,Macondray Ln and Taylor btwn Union and Green,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.4156925 37.7991835),3,2024-12-18T14:30:38.000,Russian Hill,-122.4156925,2024-12-06T12:17:47.000,37.7991835
Silicon Valley Season 4,2017,Howard St between 3rd and 4th St.,,"Brown Hill Productions, LLC",HBO,Mike Judge,John Altschuler,Thomas Middleditch,T.J. Miller,Josh Brener,CA,San Francisco,POINT (-122.39484 37.77667),6,2024-12-18T14:30:38.000,Mission Bay,-122.39484,2024-12-06T12:17:47.000,37.77667
Mrs. Doubtfire,1993,100 Embarcadero Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,CA,San Francisco,POINT (-122.3927897 37.7932769),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3927897,2024-12-06T12:17:47.000,37.7932769
Harold and Maude,1971,Sutro Baths (Point Lobos Avenue),,Mildred Lewis and Colin Higgins Productions,Paramount Pictures,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,,CA,San Francisco,POINT (-122.51365 37.7804444),1,2024-12-18T14:30:38.000,Outer Richmond,-122.51365,2024-12-06T12:17:47.000,37.7804444
The Last Black Man in San Francisco,2019,"Ford's Grocery Store, 1496 Oakdale Ave",,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.3882617 37.7336171),10,2024-12-18T14:30:38.000,Bayview Hunters Point,-122.3882617,2024-12-06T12:17:47.000,37.7336171
Looking Season 2 ep 210,2015,SF City Hall Polk Street Steps,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4192417 37.779275),5,2024-12-18T14:30:38.000,Tenderloin,-122.4192417,2024-12-06T12:17:47.000,37.779275
Summertime,2015,Montgomery between California and Pine,,"Creative Monster Productions, Inc.",11 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.4035729 37.7892748),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4035729,2024-12-06T12:17:47.000,37.7892748
The Presidio,1988,Presidio (Golden Gate National Recreation Area),"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.4810057 37.7923841),2,2024-12-18T14:30:38.000,Presidio,-122.4810057,2024-12-06T12:17:47.000,37.7923841
Herbie Rides Again,1974,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Stefanie Powers,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
GirlBoss,2017,Grant between California and Washington,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4061681 37.7951101),3,2024-12-18T14:30:38.000,Chinatown,-122.4061681,2024-12-06T12:17:47.000,37.7951101
Innerspace,1987,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser,Dennis Quaid,Martin Short,Meg Ryan,CA,San Francisco,POINT (-122.4103924 37.7915528),3,2024-12-18T14:30:38.000,Nob Hill,-122.4103924,2024-12-06T12:17:47.000,37.7915528
Looking Season 2 ep 203,2015,"Boxer Stadium, 166 Havelock Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4446117 37.7269226),11,2024-12-18T14:30:38.000,Outer Mission,-122.4446117,2024-12-06T12:17:47.000,37.7269226
Women is Losers,2020,Capp St at 25th St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,CA,San Francisco,POINT (-122.4172258 37.7507117),9,2024-12-18T14:30:38.000,Mission,-122.4172258,2024-12-06T12:17:47.000,37.7507117
Copycat,1995,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,CA,San Francisco,POINT (-122.3699786 37.825284),6,2024-12-18T14:30:38.000,Treasure Island,-122.3699786,2024-12-06T12:17:47.000,37.825284
Goliath- Season 4,2021,"Brocklebank Apartments, 1000 Mason St",,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.4106579 37.7931077),3,2024-12-18T14:30:38.000,Nob Hill,-122.4106579,2024-12-06T12:17:47.000,37.7931077
The OA Part II,2019,Waverly Pl btwn Washington and Clay St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4069298 37.7950135),3,2024-12-18T14:30:38.000,Chinatown,-122.4069298,2024-12-06T12:17:47.000,37.7950135
The House on Telegraph Hill,1951,1227 Montgomery Street,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,Valentina Cortese,William Lundigan,CA,San Francisco,POINT (-122.4045546 37.8004678),3,2024-12-18T14:30:38.000,North Beach,-122.4045546,2024-12-06T12:17:47.000,37.8004678
Getting Even with Dad,1994,Mason Street at Jackson,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,CA,San Francisco,POINT (-122.4115702 37.7954186),3,2024-12-18T14:30:38.000,Nob Hill,-122.4115702,2024-12-06T12:17:47.000,37.7954186
Sense8 - Season 2,2016,"City Lights Bookstore, 261 Columbus Ave.",Howl and Other Poems by Allen Ginsberg was published in 1956 by City Lights after poet and founder Laurence Ferlinghetti heard Ginsberg read it in 1955.,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.4065996 37.7976052),3,2024-12-18T14:30:38.000,Chinatown,-122.4065996,2024-12-06T12:17:47.000,37.7976052
The Diary of a Teenage Girl,2015,770 Haight St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.43489 37.771831),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.43489,2024-12-06T12:17:47.000,37.771831
A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,CA,San Francisco,POINT (-122.4155073 37.8083487),3,2024-12-18T14:30:38.000,North Beach,-122.4155073,2024-12-06T12:17:47.000,37.8083487
The Last Black Man in San Francisco,2019,415 Lyon St/355 Lyon St,,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.4431572 37.7748749),5,2024-12-18T14:30:38.000,Lone Mountain/USF,-122.4431572,2024-12-06T12:17:47.000,37.7748749
The Fan,1996,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Mandalay Entertainment,Columbia TriStar,Tony Scott,Phoef Sutton,Robert De Niro,Wesley Snipes,,CA,San Francisco,POINT (-122.3857003 37.7135483),10,2024-12-18T14:30:38.000,Bayview Hunters Point,-122.3857003,2024-12-06T12:17:47.000,37.7135483
Herbie Rides Again,1974,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Stefanie Powers,CA,San Francisco,POINT (-122.401987 37.7888172),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.401987,2024-12-06T12:17:47.000,37.7888172
A Night Full of Rain,1978,San Francisco Chronicle (901 Mission Street at 15th Street),The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,CA,San Francisco,POINT (-122.4065207 37.7822008),6,2024-12-18T14:30:38.000,South of Market,-122.4065207,2024-12-06T12:17:47.000,37.7822008
Sense8 - Season 2,2016,Montgomery between Green and Broadway,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.401109 37.7894171),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.401109,2024-12-06T12:17:47.000,37.7894171
Fat Man and Little Boy,1989,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paramount Pictures,Paramount Pictures,Roland Joffe,Roland Joffe,Paul Newman,John Cusack,,CA,San Francisco,POINT (-122.4327231 37.7760676),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4327231,2024-12-06T12:17:47.000,37.7760676
The Maltese Falcon,1941,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,Gladys George,CA,San Francisco,POINT (-122.3936136 37.7954425),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3936136,2024-12-06T12:17:47.000,37.7954425
The Phone/Jexi,2019,Broadway at Taylor,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4135852 37.7970672),3,2024-12-18T14:30:38.000,Nob Hill,-122.4135852,2024-12-06T12:17:47.000,37.7970672
The Phone/Jexi,2019,Grid around Marina District,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4314841 37.8068032),2,2024-12-18T14:30:38.000,Marina,-122.4314841,2024-12-06T12:17:47.000,37.8068032
San Andreas,2015,Water work in SF Bay,Characters drive in a high speed picture boat to see different views of the city.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.4191055 37.7809295),5,2024-12-18T14:30:38.000,Tenderloin,-122.4191055,2024-12-06T12:17:47.000,37.7809295
Sense8 - Season 2,2016,"Westerfeld House, 1198 Fulton St.","In the 1940's, the house became a 14-unit apartment building that housed jazz musicians including John Handy. This location serves as the hideout for the San Francisco-based character Nomi.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.436447 37.7773209),5,2024-12-18T14:30:38.000,Western Addition,-122.436447,2024-12-06T12:17:47.000,37.7773209
Boys and Girls,2000,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
Super Pumped: The Battle for Uber,2022,Arkansas St. midblock between Mariposa & 17th St.,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
D.O.A,1950,Market & Steuart Streets (Financial District),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,CA,San Francisco,POINT (-122.3947995 37.7944635),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3947995,2024-12-06T12:17:47.000,37.7944635
Looking Season 2 ep 205,2015,534 Hyde Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4161084 37.7859698),5,2024-12-18T14:30:38.000,Tenderloin,-122.4161084,2024-12-06T12:17:47.000,37.7859698
Pushing Dead,2016,2930 3rd Street,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.388217 37.751986),10,2024-12-18T14:30:38.000,Bayview Hunters Point,-122.388217,2024-12-06T12:17:47.000,37.751986
Foul Play,1978,Laguna & Sacramento Streets (Pacific Heights),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4291049 37.7904754),2,2024-12-18T14:30:38.000,Pacific Heights,-122.4291049,2024-12-06T12:17:47.000,37.7904754
The Matrix,1999,skyline/ exterior scenes,,Silver Pictures,Warner Bros. Pictures,The Wachowski Brothers,The Wachowski Brothers,Keanu Reeves,Laurence Fishburne,,CA,San Francisco,POINT (-122.3753585 37.8221664),6,2024-12-18T14:30:38.000,Treasure Island,-122.3753585,2024-12-06T12:17:47.000,37.8221664
